name,description,address,tags,menu,social_urls,timezone
Burg & Barrel Food Truck,"Overland Park's gastropub on wheels — locally sourced beef burgers, beer-battered chicken strips, and hand-cut fries served at events across the metro.",,Burgers|American,Bacon Cheddar Burger|Beer-Battered Chicken Strips|Hand-Cut Fries|Salmon BLT,https://burgandbarrel.com|https://www.facebook.com/BurgFoodTruck,America/Chicago
Pacos Tacos Food Truck,"A West Bottoms taco truck serving street tacos, carne asada burritos, and house-made horchata.","1800 Central Street, Kansas City, MO 64108",Mexican|Tacos,Street Tacos|Carne Asada Burrito|Horchata,https://www.instagram.com/pacostacoskc/|https://www.facebook.com/paco.s.tacos.kc/,America/Chicago
Cocina Sabor Latino,"Latin street food off Shawnee Mission Parkway — birria and al pastor tacos on handmade tortillas, gorditas, tortas, and aguas frescas.","10336 Shawnee Mission Pkwy, Shawnee, KS 66203",Mexican|Latin American,Birria Tacos|Al Pastor Tacos|Gorditas|Asada Torta|Mango Habanero Wings|Aguas Frescas,https://www.tiktok.com/@cocinasaborlatinokc913,America/Chicago
Pa'Tacos Food Truck,"An East-side taco truck open late seven days a week, known for birria with rich consomé and a trio of house salsas.","6408 E 87th St, Kansas City, MO 64138",Mexican|Tacos,Birria Tacos|Al Pastor Tacos|Carnitas Tacos|Asada Tacos|Lengua Tacos,,America/Chicago
Estrella Azul Mexican Cuisine,"A family food truck on Johnson Drive in Mission serving street tacos, shrimp burritos, chilaquiles, and churros.","6011 Johnson Dr, Mission, KS 66202",Mexican|Tacos,Street Tacos=12|Chicken Quesadilla=12|Shrimp Burrito|Chilaquiles Verdes|Carne Asada Fries|Churros=3.50,https://www.facebook.com/EstrellaAZULKC2/,America/Chicago
Tacos Ruby's,"A Roeland Park taco truck built on family recipes — al pastor, quesabirria, tortas, and burritos in the Price Chopper lot on Roe.","4950 Roe Blvd, Roeland Park, KS 66205",Mexican|Tacos,Tacos al Pastor|Quesabirria|Burrito de Pollo|Tortas|Nachos,https://www.facebook.com/p/Tacos-Rubys-61554710386143/,America/Chicago
Taqueria La Nueva Food Truck,"A Shawnee taqueria truck on Quivira Road with al pastor tacos, quesabirria, and homemade sauces.","6495 Quivira Rd, Shawnee, KS 66216",Mexican|Tacos,Al Pastor Tacos|Quesabirria Tacos|Street Tacos|Tortas|Chicken Burrito,https://www.instagram.com/taquerialanuevafoodtruck/,America/Chicago
Happy Belly Food Truck,"A fully-functioning mobile restaurant on Gillham Road with an eclectic menu that runs from breakfast through late night.","2976 Gillham Rd, Kansas City, MO 64108",American|Burgers,Breakfast Sandwich|Burgers|Gourmet Sandwiches,https://www.facebook.com/happybellykc/,America/Chicago
Miranda's Mexican Food Truck,"A family owned kitchen on wheels on Southwest Boulevard — tacos de canasta, flautas, huaraches, and street tacos made to order, with a cozy patio.","3029 Southwest Blvd, Kansas City, MO 64108",Mexican|Tacos,Street Tacos|Tacos de Canasta|Chicken Flautas|Huaraches,https://mirandasmexicanfoodtruck.com/,America/Chicago
Crave of Kansas City Food Truck,"A family-owned Shawnee truck since 2012, known for chicken fusion tacos, slow-roasted carnitas, and loaded nachos with scratch-made sauces.","13014 W 66th St, Shawnee, KS 66216",Tacos|Fusion,Chicken Fusion Tacos|Carnitas Tacos|Shrimp Tacos|Loaded Nachos,https://www.cravekc.com/|https://www.facebook.com/CraveOfKcFoodTruck/,America/Chicago
Tacos El Migue,"A Shawnee taco truck on 75th Street serving carne asada, chorizo, and birria with consomé, open seven days a week.","10810 W 75th St, Shawnee, KS 66214",Mexican|Tacos,Carne Asada Tacos|Birria Tacos|Quesabirria|Chorizo Tacos|Churros,https://tacosselmigue.com/,America/Chicago
Aunt Mildred's #10 BBQ Food Truck,"Three generations of family recipe behind a sweet-and-spicy Southern-style sauce, with slow-smoked pulled pork, brisket, and ribs on Blue Ridge Boulevard.","4704 Blue Ridge Blvd, Kansas City, MO 64133",BBQ,Pulled Pork Sandwich|Brisket Sandwich|Ribs|Baked Beans|Potato Salad,https://www.auntmildreds10.com/|https://www.instagram.com/auntmildreds10_bbq/|https://www.facebook.com/AuntMildreds10/,America/Chicago
